Timestamp,MagX,MagY,MagZ,AreaCode,LocationCode
1717674351413,14.962501,-29.94375,-36.787502,B,B1
1717674352432,13.781251,-27.768751,-38.2125,B,B1
1717674353410,12.150001,-26.79375,-38.831253,B,B1
1717674354432,10.668751,-26.5125,-38.86875,B,B1
1717674355417,9.543751,-26.79375,-38.5875,B,B1
1717674356432,9.525001,-26.962502,-38.268753,B,B1
1717674357416,9.50625,-26.868752,-38.268753,B,B1
1717674358428,9.13125,-26.962502,-37.987503,B,B1
1717674359413,8.400001,-27.018751,-37.48125,B,B1
1717674360433,7.2187505,-27.225,-36.91875,B,B1
1717674361415,6.4687505,-27.45,-36.2625,B,B1
1717674362433,5.775,-27.675001,-35.7,B,B1
1717674363412,5.0062504,-27.900002,-35.11875,B,B1
1717674364431,4.1625004,-28.143751,-34.537502,B,B1
1717674365416,3.5625002,-28.500002,-33.80625,B,B1
1717674366429,3.16875,-28.706251,-33.43125,B,B1
1717674367417,2.9437501,-28.931252,-33.35625,B,B1
1717674368436,3.0937502,-28.893751,-33.412502,B,B1
1717674369412,2.8312502,-29.025002,-33.35625,B,B1
1717674370435,2.15625,-29.493752,-33.206253,B,B1
1717674371414,1.2375001,-30.150002,-32.943752,B,B1
1717674372428,0.1875,-30.88125,-32.7,B,B1
1717674373419,-0.975,-31.706251,-32.325,B,B1
1717674374428,-2.1937501,-32.568752,-31.931252,B,B1
1717674376417,-3.3937502,-33.46875,-31.575,B,B1
1717674377403,-4.6125,-34.425003,-31.087502,B,B1
1717674378425,-5.86875,-35.2125,-30.750002,B,B1
1717674379401,-6.675,-35.60625,-30.468752,B,B1
1717674380421,-7.18125,-35.756252,-30.375002,B,B1
1717674381412,-7.4812503,-35.8875,-30.2625,B,B1
1717674382420,-7.6125,-35.943752,-30.187502,B,B1
1717674383726,-7.9687505,-35.775,-30.300001,B,B1
1717674384702,-7.9687505,-35.550003,-30.50625,B,B1
1717674385725,-7.4812503,-35.11875,-31.10625,B,B1
1717674386704,-6.2812505,-34.631252,-31.893751,B,B1
1717674387722,-4.03125,-34.10625,-32.49375,B,B1
1717674388709,-1.81875,-33.581253,-33.018753,B,B1
1717674389718,0.375,-33.112503,-33.525,B,B1
1717674390706,2.5500002,-32.7,-34.10625,B,B1
1717674393632,5.025,-32.49375,-34.537502,B,B1
1717674394607,7.1250005,-32.30625,-34.78125,B,B1
1717674395631,8.75625,-32.362503,-34.725002,B,B1
1717674396615,9.431251,-32.4375,-34.518753,B,B1
1717674397616,7.4625,-32.4,-34.706253,B,B1
1717674398613,3.9750001,-32.86875,-33.99375,B,B1
1717674399619,0.28125,-33.75,-32.49375,B,B1
1717674400608,-3.075,-34.875,-30.825,B,B1
1717674401631,-6.4687505,-35.943752,-29.118752,B,B1
1717674402608,-9.7875,-36.99375,-27.54375,B,B1
1717674403622,-12.975,-38.006252,-26.00625,B,B1
1717674404607,-15.993751,-39.037502,-24.487501,B,B1
1717674405626,-17.41875,-40.21875,-22.743752,B,B1
1717674406615,-17.23125,-40.93125,-21.91875,B,B1
1717674407622,-16.78125,-41.15625,-21.9375,B,B1
1717674408608,-16.6875,-41.1375,-22.050001,B,B1
1717674409627,-16.5375,-41.175003,-22.143751,B,B1
1717674410615,-16.40625,-41.193752,-22.181252,B,B1
